old_path,action,destination,reason,confidence,era
/2021/10/08/onlajn-pinap-kazino-veb-resurs-dlja-aktivnyh/,410,,SPAM: injected casino/off-topic post (WordPress 2021-22),high,wp1-spam
/2021/10/17/piabet-sitesinde-canli-casino-oynayin/,410,,SPAM: injected casino/off-topic post (WordPress 2021-22),high,wp1-spam
/2021/10/18/1xbet-canli-bahis-sitesi-casino/,410,,SPAM: injected casino/off-topic post (WordPress 2021-22),high,wp1-spam
/2022/01/20/oficialnyj-sajt-pinap-s-bonusami-za-registraciju-7789/,410,,SPAM: injected casino/off-topic post (WordPress 2021-22),high,wp1-spam
/2022/01/20/vulkan-stars-privetstvuet-vseh-ljubitelej-igrovyh-7789/,410,,SPAM: injected casino/off-topic post (WordPress 2021-22),high,wp1-spam
/2022/02/10/antivirus-for-iphone-those-that-are-the-best/,410,,SPAM: injected casino/off-topic post (WordPress 2021-22),high,wp1-spam
/2022/03/01/korean-home-theater-devices/,410,,SPAM: injected casino/off-topic post (WordPress 2021-22),high,wp1-spam
/?LOSS=*,410,,SPAM: pharma query-string injection; seen 200 as late as 2026-02 — block by query key,high,wp2-spam
/?Male=*,410,,SPAM: pharma query-string injection — block by query key,high,wp2-spam
/about.htm,301,/fa/about,2007 about page,high,static-2007
/eabout.htm,301,/en/about,2007 English about,high,static-2007
/contact.htm,301,/fa/contact,2007 contact,high,static-2007
/contact.php,301,/fa/contact,2007 contact,high,static-2007
/econtact.htm,301,/en/contact,2007 English contact [VERIFY slug],high,static-2007
/econtact.php,301,/en/contact,2007 English contact [VERIFY slug],high,static-2007
/index.htm,301,/fa,2007 homepage,high,static-2007
/index.php,301,/fa,legacy homepage,high,static-2007
/pe100.htm,301,/fa/polyethylene-pipe,2007 PE100 product page,medium,static-2007
/pe80.htm,301,/fa/technical-center/pe80-vs-pe100,2007 PE80 product page,medium,static-2007
/pe63.htm,301,/fa/polyethylene-pipe,2007 PE63 product page,medium,static-2007
/epe100.htm,301,/en/polyethylene-pipe,2007 English PE100,medium,static-2007
/epe80.htm,301,/en/polyethylene-pipe,2007 English PE80,medium,static-2007
/epe63.htm,301,/en/polyethylene-pipe,2007 English PE63,medium,static-2007
/project.php,301,/fa/applications,2007 projects page,medium,static-2007
/fa/user/temp.php?irantech_cms=11801&*(PE),301,/fa/laboratory/services,old lab page: PE pipe testing,medium,irantech
/fa/user/temp.php?irantech_cms=11801&*(PP),301,/fa/laboratory/services,old lab page: PP pipe testing,medium,irantech
/fa/user/temp.php?irantech_cms=11801&*(PVC),301,/fa/laboratory/services,old lab page: PVC pipe testing,medium,irantech
/en/user/temp.php?irantech_cms=11801&*,301,/en/laboratory,old EN lab testing pages,medium,irantech
/fa/user/temp.php?irantech_cms=1141&*,301,/fa/gallery,old gallery (lab/warehouse/projects/staff),medium,irantech
